tok,Freq
one of the,36
I don t,32
a lot of,22
the end of,15
going to be,13
to be a,13
at the end,12
end of the,12
I m not,12
in front of,12
you have to,12
I have been,11
out of the,11
the U S,11
there is a,11
as well as,10
be able to,10
It s a,10
the fact that,10
don t know,9
don t think,9
I have to,9
part of the,9
some of the,9
to do it,9
won t be,9
you don t,9
a couple of,8
I can t,8
I have a,8
I think I,8
I went to,8
is one of,8
of the most,8
a little bit,7
all of the,7
and I have,7
and the other,7
as much as,7
don t want,7
I am a,7
I want to,7
in the world,7
it s not,7
more than a,7
of the day,7
one of my,7
One of the,7
one of those,7
t want to,7
that I am,7
the first time,7
the rest of,7
the same time,7
to do with,7
to make the,7
30 p m,6
according to a,6
according to the,6
and then I,6
back in the,6
be one of,6
but it s,6
had to do,6
have to do,6
I didn t,6
I had a,6
I had to,6
I m still,6
I think it,6
I ve been,6
I wanted to,6
I was a,6
in the first,6
it has been,6
it s a,6
it would be,6
of the year,6
there is no,6
to be in,6
to be the,6
to see the,6
to take a,6
was one of,6
were going to,6
would have to,6
00 p m,5
a bit of,5
a group of,5
a long time,5
and I think,5
and it s,5
and we were,5
and you have,5
and you ll,5
as long as,5
because of the,5
but that s,5
come up with,5
edge of the,5
for the next,5
have to be,5
I got a,5
I haven t,5
I know it,5
I m a,5
I m in,5
I think the,5
I think we,5
I ve got,5
I ve had,5
I was in,5
I wasn t,5
I wish I,5
in New York,5
in the future,5
it is a,5
It is a,5
it is the,5
It s been,5
it was the,5
It was the,5
just don t,5
known as the,5
not going to,5
on how to,5
on the other,5
part of a,5
supposed to be,5
take care of,5
the beginning of,5
the middle of,5
the only one,5
the role of,5
there was a,5
This is the,5
this was the,5
to find out,5
to get a,5
to get the,5
to get to,5
to look at,5
to make a,5
to say that,5
to see what,5
we don t,5
we will be,5
went to the,5
would like to,5
you will be,5
‰Ûù he said,4
30 a m,4
a man who,4
a piece of,4
all over the,4
am going to,4
and I m,4
and I was,4
and it is,4
and that s,4
and that they,4
and you will,4
as far as,4
as one of,4
at the time,4
back to the,4
but I m,4
can t wait,4
didn t have,4
do with the,4
due to the,4
each other in,4
first time in,4
for a few,4
for him to,4
for me to,4
for the first,4
front of the,4
get rid of,4
go to the,4
going to do,4
hard to get,4
He said he,4
I do not,4
I feel like,4
I got to,4
I have no,4
I hope you,4
I m going,4
I m trying,4
I was told,4
if they are,4
if you have,4
in a statement,4
in high school,4
in San Francisco,4
in the country,4
in the middle,4
in the past,4
is a very,4
is going to,4
is scheduled to,4
is that the,4
it s just,4
It s the,4
It was a,4
last week and,4
looking forward to,4
m trying to,4
most of the,4
much as I,4
need to be,4
now I m,4
of a new,4
of my favorite,4
of the engine,4
of the game,4
of the house,4
of the new,4
Oh my God,4
on both sides,4
p m and,4
people who are,4
re going to,4
s going to,4
s up to,4
said in a,4
side of the,4
thanks for the,4
Thanks for the,4
that doesn t,4
that he had,4
that I could,4
that it s,4
That s a,4
that there are,4
that we are,4
the number of,4
The number of,4
the one who,4
the opportunity to,4
the presence of,4
the second half,4
the state s,4
the top of,4
the United States,4
the University of,4
this is the,4
to deal with,4
to do something,4
to focus on,4
to go to,4
to have a,4
to see you,4
to take care,4
to try and,4
to try to,4
told me that,4
trying to make,4
two years ago,4
wait to see,4
want to do,4
want to see,4
was a little,4
was going to,4
what I want,4
what it is,4
what to do,4
when he was,4
when it s,4
will be a,4
will be the,4
wish I had,4
would love to,4
would not be,4
you re a,4
you want to,4
10 a m,3
2 p m,3
6 p m,3
a bit more,3
a bunch of,3
a few months,3
a few years,3
a good one,3
a good time,3
a great day,3
a host of,3
a large number,3
a look at,3
a part of,3
a sort of,3
a while but,3
a year ago,3
ahead of the,3
all kinds of,3
all the time,3
along with the,3
an attempt to,3
an effort to,3
and a host,3
and all the,3
and for a,3
and have a,3
and he s,3
and I d,3
and I hope,3
and it was,3
and of course,3
and out of,3
and that makes,3
and we have,3
and you re,3
appears to be,3
are a few,3
are among the,3
are expected to,3
are not forced,3
as a result,3
as I m,3
as to what,3
asked if they,3
at a time,3
at least a,3
at least one,3
at least the,3
at the bottom,3
at the same,3
At the same,3
at the top,3
away from the,3
bars and restaurants,3
be a good,3
be in the,3
beginning of the,3
being able to,3
But it s,3
but it was,3
But there s,3
by one of,3
By the time,3
can be a,3
can t even,3
care of his,3
clear that the,3
could have been,3
couldn t get,3
couple of weeks,3
couple of years,3
day of the,3
declined to comment,3
Did you know,3
director of the,3
do you think,3
don t have,3
don t like,3
don t make,3
don‰Ûªt care if,3
down on the,3
during the day,3
efficiency of the,3
even if they,3
feel like I,3
floor of the,3
focus on the,3
for a couple,3
for a long,3
for the same,3
friend and I,3
get out of,3
getting a dog,3
give it a,3
going to get,3
going to the,3
good to me,3
had a good,3
had a great,3
had at least,3
has been a,3
has the most,3
has to be,3
have a lot,3
have been the,3
have no idea,3
he didn t,3
he has not,3
he s the,3
he wasn t,3
Here s a,3
him and he,3
I am going,3
I am not,3
I can‰Ûªt wait,3
i couldn t,3
I d love,3
I decided to,3
I finally got,3
I found this,3
I had never,3
I know I,3
I know that,3
I ll be,3
I m back,3
I m hoping,3
I m just,3
I m sure,3
I miss you,3
I need a,3
I need to,3
I think she,3
I think there,3
I try to,3
I ve spent,3
I was so,3
I won t,3
I wondered if,3
I would be,3
I would have,3
if he was,3
If I was,3
if it s,3
If you re,3
in a corner,3
in an effort,3
in his best,3
in my life,3
in order to,3
In other words,3
in terms of,3
in the air,3
in the background,3
in the city,3
in the field,3
in the final,3
in the morning,3
in the NBA,3
in the presence,3
in the right,3
in the second,3
in the state,3
in the US,3
in the way,3
is a small,3
is all about,3
is expected to,3
is like a,3
is not going,3
is on the,3
is the fact,3
is the last,3
it a great,3
it came to,3
it can be,3
It has been,3
it in the,3
It s about,3
it s been,3
it s going,3
it s the,3
It s what,3
it should be,3
it was a,3
it was like,3
it was so,3
it when I,3
kingdom of God,3
know it s,3
know what the,3
large number of,3
last year and,3
like it was,3
little bit of,3
look at it,3
look at the,3
lot of people,3
m going to,3
Make it a,3
many of the,3
may have been,3
me up to,3
members of the,3
might as well,3
more and more,3
more likely to,3
more of it,3
more than 40,3
my way to,3
need to have,3
New York City,3
of God is,3
of more than,3
of one of,3
of the few,3
of the first,3
of the season,3
of the week,3
of the world,3
on my way,3
on the back,3
on the field,3
on the floor,3
on the way,3
on top of,3
one of his,3
One of my,3
out with my,3
Out you go,3
over the past,3
people in the,3
President Barack Obama,3
R I P,3
really want to,3
research and development,3
rest of the,3
right in the,3
s hard to,3
said he was,3
said It s,3
said it was,3
season with the,3
see what the,3
seems to have,3
Sherwood Middle School,3
so that s,3
So the question,3
some of my,3
spokesman for the,3
t wait to,3
take a look,3
thank you for,3
Thanks for all,3
that deja vu,3
that has been,3
that have been,3
that he has,3
that I have,3
that I was,3
that is the,3
that s a,3
That s not,3
that you can,3
that you re,3
the ability to,3
the bottom of,3
the edge of,3
the first inning,3
the hard work,3
the Humane Society,3
the idea of,3
the inside of,3
the key to,3
the kingdom of,3
the last time,3
the mood for,3
the NBA in,3
the New York,3
The next day,3
the one that,3
the other hand,3
the other side,3
the right to,3
the sound of,3
the time of,3
There is a,3
There is no,3
there s a,3
there s more,3
there was no,3
they don t,3
they want to,3
they were going,3
think I m,3
think I was,3
this is just,3
This is what,3
thought it was,3
thousands of dollars,3
time of year,3
to be able,3
to close the,3
to come out,3
to come up,3
to do that,3
to do the,3
to everyone who,3
to figure out,3
to find a,3
to get it,3
to get this,3
to have been,3
to join the,3
to keep it,3
to learn the,3
to listen to,3
to make this,3
to one of,3
to the bathroom,3
to the next,3
to work with,3
top of a,3
top of my,3
tour of the,3
up a little,3
up in the,3
up to them,3
used in the,3
ve got to,3
was a good,3
was in the,3
was the best,3
we got back,3
We have been,3
we want to,3
We want to,3
week and I,3
well have been,3
went to a,3
What s the,3
what the hell,3
what you want,3
when I was,3
when it comes,3
whether or not,3
who wants to,3
will have a,3
will not be,3
with the other,3
working on a,3
would be the,3
would have been,3
would have made,3
years ago when,3
years to come,3
you have a,3
you have the,3
you know that,3
you ll have,3
you re in,3
you so much,3
‰ÛÒ but we,2
‰ÛÏI am not,2
‰Ûù Jack Britt,2
000 in the,2
1 p m,2
1 percent to,2
10 p m,2
11 p m,2
2 00 p,2
2 5 percent,2
2008 at both,2
5 hydrogen ions,2
5 to 10,2
7 00 p,2
9 30 a,2
9 a m,2
a Baby Einstein,2
a bit I,2
a certain extent,2
a chance to,2
a common theme,2
a couple more,2
a daunting challenge,2
a do-over because,2
a dog for,2
a few days,2
a few minutes,2
a flea market,2
a function of,2
a glass of,2
a good idea,2
a good mood,2
a great deal,2
a great multitude,2
a great time,2
a handful of,2
a home in,2
a huge fan,2
a life lived,2
a little girl,2
A lot of,2
A M E,2
a m in,2
a matter of,2
a mix of,2
a person on,2
a place to,2
a right that,2
a Saturday night,2
a series of,2
a short time,2
a small species,2
a smile on,2
a smile to,2
a sneak peak,2
a statement that,2
a story about,2
a surge of,2
a third of,2
a time to,2
a time when,2
a tiny white,2
a total of,2
a two-run double,2
a variety of,2
a very different,2
a very talented,2
a way to,2
a week of,2
a wonderful day,2
a year s,2
a young man,2
about how our,2
according to court,2
across as a,2
Add the garlic,2
addition to the,2
advantage of the,2
agree on a,2
agreement with the,2
all about making,2
all in one,2
all of them,2
all the way,2
almost throughout the,2
am a huge,2
Am I the,2
an answer to,2
an average of,2
an email and,2
an emergency manager,2
an emphasis on,2
an opportunity to,2
and 2 the,2
and 7 00,2
and a few,2
and a great,2
and also you,2
and by the,2
and credit cards,2
and don t,2
and even the,2
and for the,2
and going to,2
and grew up,2
and had fun,2
and he did,2
and he has,2
and how you,2
and I are,2
and I can,2
And I can,2
and I don,2
and I just,2
and I know,2
and i started,2
And I was,2
and I will,2
and if you,2
and in a,2
and is the,2
and it can,2
