tok,Freq
of the,388
in the,308
to the,160
on the,149
for the,139
to be,123
I m,121
in a,110
at the,109
and the,105
with the,105
from the,93
it s,83
don t,82
is a,79
for a,76
I have,74
of a,74
and I,71
I was,71
is the,69
one of,63
to do,63
I am,62
by the,61
It s,61
it is,59
will be,59
with a,59
going to,56
to get,55
have been,54
as a,53
it was,53
that the,52
want to,47
to a,46
was a,46
into the,45
that I,45
and a,44
have to,44
I think,43
as the,42
of my,41
the first,40
to make,40
a few,39
have a,39
to see,39
has been,38
more than,38
on a,38
I ve,37
out of,37
was the,37
when I,36
It was,35
but I,34
he was,34
I had,34
s a,34
p m,33
the most,33
would be,33
a lot,32
about the,32
be a,32
he said,32
I don,32
you have,32
a good,31
a little,31
all the,31
is that,31
the other,31
the same,31
need to,30
of his,30
to have,30
you can,30
I know,29
is not,29
they are,29
you re,29
and you,28
over the,28
through the,28
up to,28
would have,28
had a,27
to take,27
at least,26
can t,26
It is,26
lot of,26
that s,26
there is,26
This is,26
a new,25
and he,25
are not,25
didn t,25
from a,25
so much,25
that is,25
U S,25
and then,24
and we,24
for me,24
had to,24
I could,24
I ll,24
of it,24
part of,24
the best,24
a great,23
according to,23
and it,23
and that,23
as well,23
at a,23
I can,23
I would,23
in my,23
that he,23
able to,22
can be,22
like a,22
of our,22
should be,22
that you,22
the day,22
this is,22
to me,22
trying to,22
you are,22
but the,21
in his,21
said he,21
the next,21
the state,21
this year,21
to find,21
as I,20
back to,20
but it,20
how to,20
last week,20
some of,20
the only,20
to go,20
we are,20
when he,20
a very,19
be the,19
end of,19
he s,19
I love,19
I will,19
in this,19
on my,19
That s,19
the way,19
way to,19
we have,19
get a,18
got a,18
has a,18
I just,18
if you,18
In the,18
into a,18
it to,18
New York,18
number of,18
s the,18
the end,18
the last,18
the time,18
there are,18
there s,18
time to,18
to say,18
wasn t,18
we were,18
what you,18
you will,18
a bit,17
a couple,17
all of,17
I got,17
I hope,17
is to,17
me to,17
of all,17
right now,17
take a,17
the past,17
to help,17
to my,17
up a,17
went to,17
what I,17
doesn t,16
in that,16
me that,16
such as,16
that we,16
the new,16
the world,16
there was,16
this week,16
to you,16
up and,16
up the,16
wanted to,16
was not,16
which is,16
with my,16
as they,15
I d,15
I thought,15
it in,15
last year,15
not to,15
of any,15
of this,15
of your,15
s not,15
so I,15
than a,15
the right,15
them to,15
they were,15
up with,15
with his,15
you know,15
and his,14
and to,14
before the,14
do it,14
during the,14
get to,14
have the,14
he has,14
He was,14
I do,14
If you,14
in an,14
is no,14
isn t,14
look at,14
of people,14
of them,14
that was,14
think I,14
this was,14
to give,14
to keep,14
too much,14
when you,14
won t,14
years ago,14
about it,13
after the,13
and they,13
because of,13
fact that,13
front of,13
had the,13
he had,13
high school,13
I get,13
I want,13
I went,13
in front,13
in our,13
is also,13
it a,13
it has,13
it would,13
kind of,13
like the,13
make it,13
of that,13
off the,13
on his,13
on this,13
people who,13
see the,13
such a,13
that a,13
that it,13
their own,13
to that,13
to work,13
was in,13
we can,13
when it,13
would not,13
a year,12
about a,12
along with,12
